site_id,site_name,commissioned_date,province,district,latitude,longitude,array_size_kwp,panel_type,notes,created_at,updated_at
KD149,KD0149P,22.09.20,Kandal,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 2 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.6 kW,31.10.25 03:26,31.10.25 03:26
KD010,KD0010P,27.06.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 3.0 kW,31.10.25 03:26,31.10.25 03:26
PP827,PP0827,01.06.20,Phnom Penh,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 3.2 kW,31.10.25 03:26,31.10.25 03:26
PP106,PP0106,31.05.22,Phnom Penh,,,,3.9,650W MH-650W,PO: PON2022300392 | Project: Solar 2022-150 Sites | Grid: Grid | Power: Grid+Solar | Avg Load: 9.5 kW,31.10.25 03:26,31.10.25 03:26
KD025,KD0025P,13.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.9 kW,31.10.25 03:26,31.10.25 03:26
KD118,KD0118R6,20.01.20,Kandal,,,,2.61,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 7.1 kW,31.10.25 03:26,31.10.25 03:26
KD209,KD0209R4,01.07.21,Kandal,,,,3.54,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 9.4 kW,31.10.25 03:26,31.10.25 03:26
PP770,PP0770P,25.05.20,Phnom Penh,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 6.6 kW,31.10.25 03:26,31.10.25 03:26
KD125,KD0125P,31.07.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 8.0 kW,31.10.25 03:26,31.10.25 03:26
PP105,PP0105R6,30.05.22,Phnom Penh,,,,3.9,650W MH-650W,PO: PON2022300392 | Project: Solar 2022-150 Sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.2 kW,31.10.25 03:26,31.10.25 03:26
KD237,KD0237P,27.06.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 7.5 kW,31.10.25 03:26,31.10.25 03:26
KD157,KD0157P,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 5.6 kW,31.10.25 03:26,31.10.25 03:26
PP601,PP0601,09.01.21,Phnom Penh,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 5.6 kW,31.10.25 03:26,31.10.25 03:26
KD167,KD0167R6,10.01.21,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 6.5 kW,31.10.25 03:26,31.10.25 03:26
KD238,KD0238P,26.06.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 6.9 kW,31.10.25 03:26,31.10.25 03:26
KD253,KD0253P,09.10.22,Kandal,,,,3.99,665W MH-665W,PO: PON2022301849 | Project: Solar 2022-92 Sites | Grid: Grid | Power: Grid+Solar | Avg Load: 3.6 kW,31.10.25 03:26,31.10.25 03:26
PP100,PP0100,01.06.20,Phnom Penh,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 8.0 kW,31.10.25 03:26,31.10.25 03:26
KD188,KD0188R8,06.01.21,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 6.5 kW,31.10.25 03:26,31.10.25 03:26
PP714,PP0714P,30.05.20,Phnom Penh,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 6.4 kW,31.10.25 03:26,31.10.25 03:26
KD053,KD0053P,28.06.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 7.6 kW,31.10.25 03:26,31.10.25 03:26
KD089,KD0089R2,15.01.20,Kandal,,,,3.48,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 9.8 kW,31.10.25 03:26,31.10.25 03:26
KD017,KD0017R3,30.06.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 10.0 kW,31.10.25 03:26,31.10.25 03:26
KD183,KD0183RD,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 7.1 kW,31.10.25 03:26,31.10.25 03:26
KD133,KD0133R3,26.05.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 10.0 kW,31.10.25 03:26,31.10.25 03:26
KD102,KD0102RD,27.05.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 11.1 kW,31.10.25 03:26,31.10.25 03:26
KD141,KD0141P,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 4.0 kW,31.10.25 03:26,31.10.25 03:26
KD019,KD0019R4,12.06.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.2 kW,31.10.25 03:26,31.10.25 03:26
KD097,KD0097P,18.06.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 11.5 kW,31.10.25 03:26,31.10.25 03:26
KD227,KD0227P,08.09.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.7 kW,31.10.25 03:26,31.10.25 03:26
KD187,KD0187RD,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 7.5 kW,31.10.25 03:26,31.10.25 03:26
KD135,KD0135R8,18.07.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 6.1 kW,31.10.25 03:26,31.10.25 03:26
KD011,KD0011P,27.06.20,Kandal,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 7.2 kW,31.10.25 03:26,31.10.25 03:26
KD033,KD0033P,30.05.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.4 kW,31.10.25 03:26,31.10.25 03:26
KD182,KD0182RD,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 4.7 kW,31.10.25 03:26,31.10.25 03:26
KD090,KD0090RD,26.06.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 10.7 kW,31.10.25 03:26,31.10.25 03:26
KD176,KD0176RD,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 4.1 kW,31.10.25 03:26,31.10.25 03:26
